Subjects,Binarised_rewards_1,Binarised_rewards_2,Binarised_rewards_3,Binarised_rewards_4,Binarised_rewards_5,Binarised_rewards_6,Binarised_rewards_7,Binarised_rewards_8,Binarised_rewards_9,Binarised_rewards_10,Binarised_rewards_11,Binarised_rewards_12,Binarised_rewards_13,Binarised_rewards_14,Binarised_rewards_15,Binarised_rewards_16,Binarised_rewards_17,Binarised_rewards_18,Binarised_rewards_19,Binarised_rewards_20,Binarised_rewards_21,Binarised_rewards_22,Binarised_rewards_23,Binarised_rewards_24,Binarised_rewards_25,Binarised_rewards_26,Binarised_rewards_27,Binarised_rewards_28,Binarised_rewards_29,Binarised_rewards_30,Binarised_rewards_31,Binarised_rewards_32,Binarised_rewards_33,Binarised_rewards_34,Binarised_rewards_35,Binarised_rewards_36,Binarised_rewards_37,Binarised_rewards_38,Binarised_rewards_39,Binarised_rewards_40,Binarised_rewards_41,Binarised_rewards_42,Binarised_rewards_43,Binarised_rewards_44,Binarised_rewards_45,Binarised_rewards_46,Binarised_rewards_47,Binarised_rewards_48,Binarised_rewards_49,Binarised_rewards_50,Binarised_rewards_51,Binarised_rewards_52,Binarised_rewards_53,Binarised_rewards_54,Binarised_rewards_55,Binarised_rewards_56,Binarised_rewards_57,Binarised_rewards_58,Binarised_rewards_59,Binarised_rewards_60,Binarised_rewards_61,Binarised_rewards_62,Binarised_rewards_63,Binarised_rewards_64,Binarised_rewards_65,Binarised_rewards_66,Binarised_rewards_67,Binarised_rewards_68,Binarised_rewards_69,Binarised_rewards_70,Binarised_rewards_71,Binarised_rewards_72,Binarised_rewards_73,Binarised_rewards_74,Binarised_rewards_75,Binarised_rewards_76,Binarised_rewards_77,Binarised_rewards_78,Binarised_rewards_79,Binarised_rewards_80,Binarised_rewards_81,Binarised_rewards_82,Binarised_rewards_83,Binarised_rewards_84,Binarised_rewards_85,Binarised_rewards_86,Binarised_rewards_87,Binarised_rewards_88,Binarised_rewards_89,Binarised_rewards_90,Binarised_rewards_91,Binarised_rewards_92,Binarised_rewards_93,Binarised_rewards_94,Binarised_rewards_95,Binarised_rewards_96
11,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1
12,1,0,1,1,0,NaN,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,NaN,1,0,0,1,0,1,NaN,0,NaN,1,NaN,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,NaN,1,0,NaN,0,1,1,NaN,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
13,1,1,NaN,NaN,1,1,1,1,0,1,NaN,0,0,1,1,0,1,NaN,0,1,0,1,0,1,NaN,1,1,1,0,1,0,1,NaN,1,1,1,1,1,1,1,0,1,0,1,1,1,1,NaN,1,1,0,1,0,0,NaN,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,NaN,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
14,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
15,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
16,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
17,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
18,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
19,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
20,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,NaN,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,NaN,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,NaN,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0
