Subjects,winModel,BIC_1,BIC_2,BIC_3,BIC_4,BIC_5
11,3,137.648606858977,98.1661530860093,60.5212910736196,69.5051765754529,68.8732821894642
12,5,126.471240593029,125.708179848439,117.075936203063,105.370365564531,99.5864846310133
13,3,125.073517536085,94.1749468119991,72.011010400697,78.8838477274211,97.0439916615207
14,3,137.648606858977,101.063606734736,48.4958809021277,56.8990719775039,96.4354137762008
15,3,137.648606858977,106.449411732819,15.931857769042,25.0605544092847,17.7578114233045
16,3,137.648606858977,101.063606734513,68.9996836834167,71.8872831200257,81.276985993306
17,3,137.648606858977,113.579192245821,34.3354654674229,43.2255463781425,46.2126257370721
18,3,137.648606858977,98.1661530853559,38.5449573015286,45.3455823924906,86.7686664221273
19,3,137.648606858977,111.323421978295,93.5856647086454,99.6256858666194,114.581634966776
20,5,133.457975077303,133.457975077303,128.220410164174,122.962438129503,117.329676005553
21,3,134.85496472754,107.877572876793,69.1612225313428,78.2478120954615,103.342018530096
22,3,137.648606858977,108.948138890626,23.1261904983849,27.729233771817,34.5293950237327
23,3,137.648606858977,119.663177888404,72.8713926698868,82.0000890519903,91.8161416038829
24,4,137.648606858977,123.17813657313,34.1094702954276,31.0108413213684,47.1478153158305
25,5,136.25184119799,112.98970268605,48.755612613571,31.189886706077,28.1908156301118
26,5,136.25184119799,108.416208250979,34.254688706162,34.2864124512221,26.2101151783804
27,3,137.648606858977,121.473087962484,58.8318038106634,62.3755570662755,77.3801312180971
28,5,134.85496472754,105.435588059155,11.8591800881221,20.9457678536735,11.8591783704156
29,3,134.85496472754,114.473203082026,89.2000246940647,96.6261283738096,95.7450142890468
30,5,137.648606858977,98.1661530846738,11.9012865584082,21.0299814881111,11.9012851051771
31,3,133.457975077303,96.8858759138235,18.4936957526599,27.5588947358327,65.028888499792
32,3,136.25184119799,94.7294283803844,22.6715074478153,30.3442649237573,38.1785132496316
33,5,134.85496472754,105.435588057235,11.8591796777712,20.9457693110911,11.8591782867947
34,4,134.85496472754,107.877572867399,81.5636491698921,69.3135090313532,117.264811979875
35,3,133.457975077303,111.787890869779,77.5504593957097,86.5881578140421,84.349619072939
36,3,137.648606858977,123.178136573136,44.322290787125,51.6210223884014,45.20881670059
37,4,137.648606858977,135.50987257834,120.554063695159,60.8258556384391,63.380366222456
38,3,134.85496472754,102.864989138018,59.3032074623531,68.3897970270324,81.4537824572467
39,3,129.266302171121,111.88147446813,46.1458852031338,54.9348959737264,51.8364212136811
40,4,134.85496472754,124.661022519893,116.474798623445,78.810604668488,120.24295597127
41,3,136.25184119799,110.762918939969,81.1065873037531,88.1545443273884,94.2427448313558
42,4,137.648606858977,106.449411732519,100.75361949327,91.5644018104654,125.692118010632
43,3,137.648606858977,108.948138888729,42.3529239532795,48.560684641419,51.6757238313749
44,5,134.85496472754,107.877572867483,11.8591799919192,20.9457678513574,11.8591796950428
45,3,137.648606858977,108.948138889367,24.1144872403343,29.1567731461551,29.6466368237006
46,3,133.457975077303,129.370409416753,123.731607002444,132.239238177301,134.124407882629
47,3,134.85496472754,128.376869296273,66.0424041884717,69.7286097291214,67.4659611184834
48,5,137.648606858977,106.449411732811,11.9012871450907,21.0299815213877,11.9012851051879
49,3,137.648606858977,103.822864197021,25.8402464104431,34.9508765883439,30.5284844812334
50,3,111.088471228085,91.4360276142845,31.3078983327661,39.9600052177437,34.1705194112323
51,3,136.25184119799,112.989702685471,88.5739973226584,97.2674151016964,113.047890120244
52,3,134.85496472754,112.392667955084,95.5242316260023,104.610821190642,131.250478002627
53,3,137.648606858977,134.104047901997,128.329381505592,137.422451918917,130.806721032666
54,5,136.25184119799,112.989702685682,71.7317876171965,70.5836113756644,66.003637631656
55,3,134.85496472754,123.224443317881,77.1761800921765,80.007773787475,85.3145092357882
57,3,134.85496472754,118.296158239065,91.5322608422141,98.9404275873099,119.375178436375
58,4,137.648606858977,121.473087962333,113.147881141989,111.069308113345,138.517466361602
59,3,123.675662352564,107.319328978548,83.6646878740222,84.9513891523521,123.396130077928
60,5,136.25184119799,97.7445970300491,11.8803441565161,20.9880962886419,11.8803425058379
