Subjects,Selected_stimulus_1,Selected_stimulus_2,Selected_stimulus_3,Selected_stimulus_4,Selected_stimulus_5,Selected_stimulus_6,Selected_stimulus_7,Selected_stimulus_8,Selected_stimulus_9,Selected_stimulus_10,Selected_stimulus_11,Selected_stimulus_12,Selected_stimulus_13,Selected_stimulus_14,Selected_stimulus_15,Selected_stimulus_16,Selected_stimulus_17,Selected_stimulus_18,Selected_stimulus_19,Selected_stimulus_20,Selected_stimulus_21,Selected_stimulus_22,Selected_stimulus_23,Selected_stimulus_24,Selected_stimulus_25,Selected_stimulus_26,Selected_stimulus_27,Selected_stimulus_28,Selected_stimulus_29,Selected_stimulus_30,Selected_stimulus_31,Selected_stimulus_32,Selected_stimulus_33,Selected_stimulus_34,Selected_stimulus_35,Selected_stimulus_36,Selected_stimulus_37,Selected_stimulus_38,Selected_stimulus_39,Selected_stimulus_40,Selected_stimulus_41,Selected_stimulus_42,Selected_stimulus_43,Selected_stimulus_44,Selected_stimulus_45,Selected_stimulus_46,Selected_stimulus_47,Selected_stimulus_48,Selected_stimulus_49,Selected_stimulus_50,Selected_stimulus_51,Selected_stimulus_52,Selected_stimulus_53,Selected_stimulus_54,Selected_stimulus_55,Selected_stimulus_56,Selected_stimulus_57,Selected_stimulus_58,Selected_stimulus_59,Selected_stimulus_60,Selected_stimulus_61,Selected_stimulus_62,Selected_stimulus_63,Selected_stimulus_64,Selected_stimulus_65,Selected_stimulus_66,Selected_stimulus_67,Selected_stimulus_68,Selected_stimulus_69,Selected_stimulus_70,Selected_stimulus_71,Selected_stimulus_72,Selected_stimulus_73,Selected_stimulus_74,Selected_stimulus_75,Selected_stimulus_76,Selected_stimulus_77,Selected_stimulus_78,Selected_stimulus_79,Selected_stimulus_80,Selected_stimulus_81,Selected_stimulus_82,Selected_stimulus_83,Selected_stimulus_84,Selected_stimulus_85,Selected_stimulus_86,Selected_stimulus_87,Selected_stimulus_88,Selected_stimulus_89,Selected_stimulus_90,Selected_stimulus_91,Selected_stimulus_92,Selected_stimulus_93,Selected_stimulus_94,Selected_stimulus_95,Selected_stimulus_96
11,2,3,1,1,1,4,2,1,2,1,1,2,1,1,2,4,1,2,2,1,2,1,1,2,4,2,1,1,1,2,1,2,1,2,1,2,1,3,1,2,1,2,1,4,1,2,2,1,1,4,2,1,3,1,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,4,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1
12,4,2,4,1,4,0,2,1,4,1,4,2,4,1,2,4,4,2,4,1,2,1,4,2,2,3,3,4,1,4,4,0,1,3,4,2,3,2,0,2,0,2,0,2,3,2,2,4,1,4,2,1,2,1,2,1,1,2,2,1,1,0,2,1,0,1,1,2,0,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,4,1,2,1,4,2,2,2,1,4,1
13,4,2,0,0,4,4,2,1,4,1,0,2,4,1,2,2,1,0,4,1,3,1,4,2,0,2,1,1,1,2,4,2,0,2,1,2,1,2,1,2,1,2,4,2,3,3,2,0,1,2,2,1,3,1,0,1,3,2,2,1,3,2,2,4,2,1,4,2,1,2,0,2,4,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,4,2,2,2,1,2,1
14,4,3,4,1,4,4,2,1,4,1,1,2,1,1,2,2,1,2,2,1,2,1,4,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,3,2,4,3,2,2,4,3,2,2,1,2,3,1,2,1,2,3,2,1,2,3,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1
15,2,3,1,1,1,2,2,1,2,1,1,2,1,1,2,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1
16,4,3,4,3,4,4,3,1,4,1,1,3,1,1,2,2,1,3,2,1,3,1,1,2,4,3,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,4,2,2,1,3,3,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1
17,2,3,4,1,1,4,2,1,4,1,4,2,1,1,2,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,2,2,1,1,3,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1
18,4,3,4,1,4,2,2,1,2,1,1,2,1,1,2,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,3,2,3,2,1,3,2,2,1,3,3,4,1,3,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1
19,2,3,1,1,1,2,2,1,2,1,1,2,1,1,2,2,1,2,2,3,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,4,4,3,2,4,2,3,3,2,4,1,2,2,3,2,3,2,4,3,2,4,1,1,2,2,1,2,1,1,2,1,2,1,4,4,2,1,2,3,2,4,2,2,1,2,1,1,2,1,2,1,1,2,2,3,1,2,1
20,4,2,4,3,4,4,2,3,2,1,1,2,1,3,2,0,4,2,4,1,2,3,4,2,4,2,3,4,3,2,4,2,3,2,4,4,3,2,4,2,3,2,4,4,3,0,2,4,4,4,2,3,2,1,2,1,1,2,4,1,1,2,2,4,0,1,1,4,4,2,3,4,4,2,3,2,3,2,4,2,2,3,4,4,3,2,4,2,1,4,2,2,2,1,2,4
21,4,3,4,1,4,2,2,1,2,1,1,2,1,1,2,4,1,2,2,1,2,1,1,2,4,2,1,1,1,4,1,2,1,2,1,0,1,2,1,4,1,3,1,4,1,2,4,1,1,4,0,3,2,1,4,1,1,3,4,1,3,3,4,1,3,1,1,4,1,2,1,4,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1
22,3,4,2,2,3,4,2,2,3,2,2,4,2,1,1,2,1,2,2,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,2,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,1,2,1,1,2,2,1,2,1,2,2,1,1,2,1,2,1,2
23,2,3,4,1,4,2,2,3,2,1,1,2,1,3,2,2,1,2,2,1,2,1,1,2,4,3,1,4,1,4,1,2,1,2,1,4,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,4,1,2,2,4,1,3,4,1,2,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1
24,4,3,4,1,4,4,3,1,4,1,4,2,1,1,2,4,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1
25,4,3,4,1,1,2,2,1,4,1,1,2,1,1,2,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,0,2,1,1,2,2,2,1,2,1
26,0,2,4,1,1,2,2,1,2,1,1,2,1,1,2,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,4,2,1,2,1
27,4,3,4,1,4,4,2,1,4,1,4,2,4,1,2,2,1,2,2,1,2,1,1,2,2,2,1,1,3,2,1,2,1,2,1,2,1,2,1,2,1,2,4,2,1,2,2,1,1,2,2,3,2,1,2,1,1,2,2,1,1,2,2,1,2,1,4,2,1,2,1,2,1,2,1,2,1,2,4,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1
28,2,2,1,1,1,2,2,1,2,1,1,2,1,1,2,2,1,2,2,0,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,1,2,0,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1
29,4,2,1,1,1,4,2,1,4,1,1,2,1,1,2,2,1,2,0,1,3,3,1,4,4,2,1,1,1,2,1,2,1,2,1,2,1,3,1,4,1,2,1,4,1,0,2,1,1,4,2,1,2,1,4,1,1,2,4,1,1,2,2,4,3,1,4,4,1,2,1,4,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,4
30,2,2,1,1,1,2,2,1,2,1,1,2,1,1,2,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1
31,4,3,4,3,4,4,2,1,4,1,4,2,1,1,2,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,0,0,0,1,2,1,2,4,1,2,2,1,1,2,2,1,2,1,1,2,1,2,3,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1
32,4,3,4,1,4,4,2,1,4,1,1,2,1,1,2,2,4,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1
33,2,2,1,1,1,2,2,1,2,1,1,2,1,1,2,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,0,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,0,2,1,1,2,1,2,1,1,2,2,2,1,2,1
34,4,3,4,3,4,4,2,3,4,3,4,0,4,1,3,4,4,3,4,3,3,3,4,4,4,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,4,2,3,1,3,3,2,4,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,0,1,2,1,1,2,2,2,1,2,1
35,2,3,1,1,4,2,2,1,2,1,1,2,1,1,2,2,1,2,2,3,2,1,1,4,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,4,4,1,3,2,1,1,2,2,1,2,1,2,1,1,2,2,0,1,2,4,1,2,3,1,4,1,2,1,2,1,3,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,0,2,2,2,1,0,1
36,2,2,4,3,1,2,3,1,2,1,1,2,1,1,2,2,1,2,4,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,3,1,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1
37,4,3,1,1,1,4,3,1,4,3,1,3,1,1,3,4,1,3,4,1,3,1,1,4,4,3,1,1,1,4,1,3,1,3,1,4,1,3,1,4,1,3,1,4,1,3,4,1,1,2,3,1,3,1,4,1,1,3,4,1,1,3,2,1,3,1,1,4,1,3,1,4,1,3,1,4,1,2,1,4,3,1,4,1,1,4,1,3,1,1,3,4,3,1,4,1
38,2,0,1,1,1,2,2,1,2,1,4,2,1,1,2,2,1,2,2,1,2,1,1,2,2,3,1,4,1,4,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,3,2,1,1,2,2,4,1,2,2,0,2,1,4,2,4,2,1,2,4,2,1,2,1,2,4,2,2,1,2,4,1,2,1,2,1,1,2,2,2,1,2,1
39,4,2,0,1,4,2,3,3,2,3,4,2,1,1,0,2,1,3,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,2,1,2,2,0,1,0,2,1,2,1,2,1,3,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,0
40,4,3,4,0,4,4,2,1,4,1,4,3,4,1,3,4,4,3,4,3,2,1,4,4,4,3,3,4,1,4,4,3,3,3,4,4,3,3,4,4,3,3,0,4,3,3,4,4,4,4,3,3,3,1,4,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,4,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1
